countryName,ladderScore,GDP,socialSupport,healthyLifeExpectancy,lifeChoices,generosity,perceptionsofCorruption,dystopia
Bulgaria,5.554,1.573,1.725,0.463,0.708,0.055,0.000,1.029
North Macedonia,5.503,1.458,1.537,0.544,0.637,0.130,0.007,1.190
Armenia,5.494,1.391,1.349,0.828,0.786,0.032,0.158,0.950
Hong Kong SAR of China,5.491,1.790,1.410,0.948,0.674,0.116,0.386,0.168
Albania,5.411,1.371,1.122,0.696,0.841,0.103,0.057,1.220
Tajikistan,5.411,0.914,1.555,0.658,,0.085,0.342,
Georgia,5.400,1.444,1.275,0.482,0.844,0.000,0.172,1.182
Nepal,5.311,0.944,1.210,0.463,0.764,0.155,0.099,1.676
Lao PDR,5.301,1.122,1.010,0.493,0.916,0.145,0.164,1.452
Türkiye,5.262,1.582,1.444,0.626,0.244,0.040,0.104,1.223
South Africa,5.213,1.283,1.465,0.142,0.676,0.064,0.043,1.540
Mozambique,5.190,0.559,1.131,0.124,0.813,0.127,0.173,2.262
Gabon,5.120,1.386,1.224,0.387,0.651,0.042,0.086,1.343
Côte d’Ivoire,5.102,1.038,0.760,0.206,0.661,0.100,0.162,2.176
Iran,5.093,1.330,1.367,0.609,0.456,0.202,0.122,1.007
Congo,5.030,1.023,0.796,0.336,0.626,0.082,0.126,2.040
Iraq,4.976,1.261,1.275,0.589,0.503,0.100,0.069,1.178
Guinea,4.929,0.873,0.791,0.306,0.676,0.157,0.098,2.027
Namibia,4.911,1.182,1.482,0.104,0.564,0.052,0.056,1.470
Cameroon,4.887,0.944,0.986,0.302,0.662,0.099,0.060,1.834
Nigeria,4.885,0.989,1.245,0.380,0.639,0.170,0.028,1.433
Azerbaijan,4.875,1.428,1.030,0.707,0.785,0.076,0.179,0.670
Senegal,4.856,0.907,0.977,0.433,0.767,0.129,0.090,1.553
State of Palestine,4.780,1.047,1.456,,0.618,0.055,0.081,
Pakistan,4.768,0.982,0.759,0.417,0.529,0.136,0.046,1.898
Niger,4.725,0.606,0.796,0.258,0.759,0.122,0.137,2.048
Ukraine,4.680,1.328,1.472,0.472,0.689,0.245,0.023,0.451
Morocco,4.622,1.139,0.635,0.585,0.748,0.031,0.095,1.388
Tunisia,4.552,1.257,1.224,0.459,0.382,0.032,0.050,1.149
Mauritania,4.542,1.023,0.919,0.516,0.454,0.113,0.195,1.323
Kenya,4.510,0.994,1.047,0.448,0.649,0.220,0.073,1.079
Uganda,4.461,0.762,1.342,0.396,0.751,0.148,0.050,1.012
Gambia,4.423,0.778,0.958,0.348,0.611,0.255,0.045,1.428
India,4.389,1.149,0.860,0.316,0.914,0.141,0.120,0.889
Chad,4.384,0.592,0.902,0.242,0.477,0.175,0.111,1.884
Burkina Faso,4.383,0.724,0.828,0.296,0.671,0.142,0.218,1.504
Benin,4.357,0.855,0.228,0.357,0.679,0.092,0.238,1.909
Somalia,4.347,0.535,0.877,0.046,0.916,0.206,0.192,1.575
Mali,4.345,0.709,0.908,0.318,0.767,0.093,0.114,1.436
Cambodia,4.341,1.049,1.215,0.481,0.988,0.138,0.078,0.393
Ghana,4.340,1.053,1.010,0.438,0.771,0.139,0.025,0.904
